text,emotion
ฉันรู้สึกว่าเหมือพวกเขาเกรียจฉันตั้งแต่ตอนนั้น,sadness
ฉันรู้สึกว่าฉันนั้นกำลังจะโกรธ,anger
เมื่อฉันเดินเข้าบ้านฉันรู้สึกดีใจ,happy
ฉันรู้สึกพอใจเมื่อได้ยินเสียงเพลง,happy
ฉันรู้สึกโกรธเมื่อเพื่อนไม่ได้ให้โซดากับฉัน,anger
ฉันรู้สึกแย่มากช่วงนี้,sadness
ฉันรู้สึกโกรธเมื่อได้กินข้าวเหมือนกับหนูทดลอง,anger
ฉันคิดว่าเวลาที่เรานั้นย้ายไปที่ใหม่ฉันนั้นต้องหาวิธีที่ให้ฉันถูกรู้สึกยอมรับ,happy
ฉันรู้สึกว่าทำอะไรไม่ถูกและหนักใจ,sadness
ห้าห้าห้า,happy
555,happy
จริงๆแล้วมันไม่มีใครรู้ว่าอนาคตเป็นยังไง กำลังคิดว่าคุณตัดสินใจกับสิ่งที่ดีที่สุดในเวลานั้นแล้ว,sadness
ฉันมีอะไรจะพูด,neutral
เพราะฉะนั้นหุบปากแล้วฟังส่ะ,anger
ฉันใช้เวลาสิบสามปียุ่งอยู่กับ,neutral
ความเมาถ้าให้กูพูดอ้อมๆ,neutral
ฉันหวังว่าฉันน่ะเลี้ยงเด็กๆฉันให้ได้ดีกว่าไอแก่คนนี้,sadness
ฉันอยากที่จะเชื่อว่าฉันนั้นจะไม่กลับไปเป็นคนเดิมเมื่อฉันเจอกับล้มเหลว,neutral
ความกระวอนกระวายที่จะทำให้งานมันเสร็จๆไป,sadness
ความสำเร็จที่ฉันไล่ตามมาทั้งชีวิต,neutral
มึง,anger
ไม่ได้รู้สึกดีเหมือนที่ฉันคิดเอาไว้เมื่อฉันข้ามมันไปแล้ว,sadness
ฉันน่ะไม่มีอะไรต้องซ่อน พร้อมที่จะไปเต้นกับเสียงเพลง,happy
วันพวกนั้นที่ฉันนอนมึนอยู่ในหัว จมลงไปกับโซฟา,neutral
แล้วตอนนี้ ณ จุดจบของพวกเรา.นั้งนึกถึงเวลาทั้งหมดที่ผ่านมา,sadness
ปํญหาเดียวในโลกนั้นคือขวดเปล่า,sadness
วันพวกนั้นคือวันที่ดีที่สุดในชีวิตฉัน,sadness
ฉันรู้ว่าฉันเป็นอะไร,neutral
แต่มึงล่ะ,anger
ไอขี้ขลาดริษยาหมาไม่แดกและมึงยังไม่รู้เลย,anger
เป็นเหี้ยอะไร,anger
