text,emotion
ฉันถูกหมากัด,Neutral
ฉันนั้นจะพยายามไม่คุยกับใครเมื่องุดงิด,Neutral
ฉันรู้สึกว่าเหมือพวกเขาเกรียจฉันตั้งแต่ตอนนั้น,Sadness
ฉันรู้สึกว่าฉันนั้นกำลังจะโกรธ,Anger
เมื่อฉันเดินเข้าบ้านฉันรู้สึกดีใจ,Happy
ฉันรู้สึกพอใจเมื่อได้ยินเสียงเพลง,Happy
ฉันรู้สึกโกรธเมื่อเพื่อนไม่ได้ให้โซดากับฉัน,Anger
ฉันรู้สึกแย่มากช่วงนี้,Sadness
ฉันรู้สึกโกรธเมื่อได้กินข้าวเหมือนกับหนูทดลอง,Anger
ฉันคิดว่าเวลาที่เรานั้นย้ายไปที่ใหม่ฉันนั้นต้องหาวิธีที่ให้ฉันถูกรู้สึกยอมรับ,Happy
ฉันรู้สึกว่าทำอะไรไม่ถูกและหนักใจ,Sadness
ห้าห้าห้า,Happy
555,Happy
จริงๆแล้วมันไม่มีใครรู้ว่าอนาคตเป็นยังไง กำลังคิดว่าคุณตัดสินใจกับสิ่งที่ดีที่สุดในเวลานั้นแล้ว,Sadness
ฉันมีอะไรจะพูด,Neutral
เพราะฉะนั้นหุบปากแล้วฟังส่ะ,Anger
ฉันใช้เวลาสิบสามปียุ่งอยู่กับ,Neutral
ความเมาถ้าให้กูพูดอ้อมๆ,Neutral
ฉันหวังว่าฉันน่ะเลี้ยงเด็กๆฉันให้ได้ดีกว่าไอแก่คนนี้,Sadness
ฉันอยากที่จะเชื่อว่าฉันนั้นจะไม่กลับไปเป็นคนเดิมเมื่อฉันเจอกับล้มเหลว,Neutral
ความกระวอนกระวายที่จะทำให้งานมันเสร็จๆไป,Sadness
ความสำเร็จที่ฉันไล่ตามมาทั้งชีวิต,Neutral
มึง,Anger
ไม่ได้รู้สึกดีเหมือนที่ฉันคิดเอาไว้เมื่อฉันข้ามมันไปแล้ว,Sadness
ฉันน่ะไม่มีอะไรต้องซ่อน พร้อมที่จะไปเต้นกับเสียงเพลง,Happy
วันพวกนั้นที่ฉันนอนมึนอยู่ในหัว จมลงไปกับโซฟา,Neutral
แล้วตอนนี้ ณ จุดจบของพวกเรา.นั้งนึกถึงเวลาทั้งหมดที่ผ่านมา,Sadness
ปํญหาเดียวในโลกนั้นคือขวดเปล่า,Sadness
วันพวกนั้นคือวันที่ดีที่สุดในชีวิตฉัน,Sadness
ฉันรู้ว่าฉันเป็นอะไร,Neutral
แต่มึงล่ะ,Anger
ไอขี้ขลาดริษยาหมาไม่แดกและมึงยังไม่รู้เลย,Anger
